GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,35,37,14,107,121,17,100,117,3,75,78
3.750-3.999,5,22,27,23,90,113,20,154,174,43,471,514
3.500-3.749,10,26,36,27,100,127,55,195,250,88,503,591
3.250-3.499,13,31,44,29,93,122,66,144,210,125,379,504
3.000-3.249,14,39,53,32,101,133,58,132,190,129,257,386
2.750-2.999,8,31,39,22,54,76,38,60,98,90,130,220
2.500-2.749,10,20,30,26,38,64,52,53,105,88,79,167
2.250-2.499,5,15,20,18,25,43,27,22,49,53,34,87
2.000-2.249,7,17,24,13,23,36,12,14,26,21,19,40
1.750-1.999,3,9,12,3,10,13,3,2,5,5,5,10
1.500-1.749,3,4,7,0,4,4,2,2,4,1,1,2
1.250-1.499,0,3,3,0,0,0,0,0,0,0,0,0
1.000-1.249,0,5,5,1,1,2,1,0,1,0,0,0
0.750-0.999,1,2,3,1,0,1,0,0,0,0,0,0
0.500-0.749,0,1,1,0,0,0,0,1,1,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,2,6,8,2,0,2,2,0,2,0,0,0
