GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,3,0,3,8,2,10,3,7,10,3,9,12
3.750-3.999,1,1,2,4,4,8,4,5,9,20,17,37
3.500-3.749,5,2,7,11,9,20,7,5,12,34,34,68
3.250-3.499,4,2,6,10,9,19,8,13,21,32,40,72
3.000-3.249,5,8,13,7,13,20,17,16,33,47,38,85
2.750-2.999,4,5,9,8,2,10,21,11,32,45,35,80
2.500-2.749,8,6,14,6,3,9,19,17,36,44,31,75
2.250-2.499,6,3,9,10,9,19,19,16,35,38,19,57
2.000-2.249,5,3,8,3,3,6,13,4,17,14,13,27
1.750-1.999,2,1,3,3,0,3,5,1,6,11,6,17
1.500-1.749,2,0,2,1,2,3,0,2,2,2,1,3
1.250-1.499,3,1,4,1,0,1,0,1,1,1,0,1
1.000-1.249,0,1,1,0,0,0,0,0,0,0,0,0
0.750-0.999,1,1,2,0,0,0,0,0,0,0,0,0
0.500-0.749,1,1,2,0,1,1,0,0,0,0,0,0
0.250-0.499,0,1,1,0,0,0,0,0,0,0,0,0
0.000-0.249,2,1,3,0,0,0,0,0,0,0,0,0
