GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,1,1,2,1,0,1,2,4,6
3.750-3.999,0,0,0,1,0,1,1,4,5,6,10,16
3.500-3.749,0,0,0,0,1,1,3,6,9,9,12,21
3.250-3.499,0,0,0,1,0,1,5,7,12,16,8,24
3.000-3.249,0,1,1,0,1,1,5,3,8,9,13,22
2.750-2.999,0,0,0,1,1,2,7,3,10,16,9,25
2.500-2.749,0,0,0,3,4,7,10,7,17,9,8,17
2.250-2.499,0,0,0,1,1,2,10,2,12,7,7,14
2.000-2.249,0,0,0,1,2,3,5,4,9,10,4,14
1.750-1.999,0,0,0,1,0,1,0,0,0,2,2,4
1.500-1.749,0,0,0,0,0,0,1,1,2,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,1,2,3,0,3,3,6,5,11
