GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,2,4,3,5,8,14,15,29,16,19,35
3.750-3.999,0,1,1,10,3,13,28,32,60,65,85,150
3.500-3.749,0,1,1,10,6,16,32,47,79,103,128,231
3.250-3.499,1,0,1,5,5,10,37,35,72,111,97,208
3.000-3.249,4,2,6,9,3,12,32,22,54,78,79,157
2.750-2.999,0,0,0,6,2,8,28,16,44,58,46,104
2.500-2.749,3,0,3,2,2,4,12,8,20,40,35,75
2.250-2.499,0,0,0,2,2,4,8,8,16,24,18,42
2.000-2.249,2,1,3,0,3,3,2,4,6,16,4,20
1.750-1.999,0,0,0,2,0,2,1,0,1,0,0,0
1.500-1.749,0,0,0,1,0,1,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,3,4,7,0,0,0,0,0,0,0,0,0
