GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,2,0,2,1,0,1,1,0,1
3.750-3.999,0,1,1,2,1,3,3,5,8,0,1,1
3.500-3.749,0,0,0,2,5,7,1,2,3,7,2,9
3.250-3.499,6,0,6,6,4,10,2,3,5,5,5,10
3.000-3.249,1,1,2,3,4,7,2,3,5,3,4,7
2.750-2.999,4,3,7,1,7,8,3,5,8,5,6,11
2.500-2.749,3,1,4,2,3,5,2,5,7,4,6,10
2.250-2.499,3,1,4,2,3,5,3,4,7,2,4,6
2.000-2.249,2,2,4,3,4,7,2,3,5,0,2,2
1.750-1.999,3,3,6,3,0,3,0,0,0,0,0,0
1.500-1.749,2,1,3,0,0,0,0,0,0,0,0,0
1.250-1.499,0,1,1,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
