GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,557,584,1141,703,951,1654,522,620,1142,445,542,987
3.750-3.999,281,228,509,620,662,1282,985,1051,2036,1667,2272,3939
3.500-3.749,464,379,843,815,825,1640,1046,1163,2209,2023,2572,4595
3.250-3.499,436,321,757,747,699,1446,1066,993,2059,2260,2202,4462
3.000-3.249,518,395,913,805,706,1511,1038,865,1903,2329,1712,4041
2.750-2.999,209,163,372,484,357,841,773,467,1240,1691,1103,2794
2.500-2.749,256,195,451,441,317,758,556,415,971,1164,690,1854
2.250-2.499,174,127,301,269,179,448,377,214,591,657,326,983
2.000-2.249,156,103,259,225,141,366,213,134,347,319,161,480
1.750-1.999,63,42,105,86,55,141,92,41,133,74,47,121
1.500-1.749,72,41,113,51,38,89,32,26,58,11,6,17
1.250-1.499,24,24,48,20,19,39,13,8,21,2,3,5
1.000-1.249,47,25,72,21,9,30,12,7,19,1,0,1
0.750-0.999,26,8,34,4,6,10,3,1,4,0,0,0
0.500-0.749,22,15,37,5,6,11,5,0,5,0,0,0
0.250-0.499,9,9,18,4,5,9,1,0,1,0,0,0
0.000-0.249,102,53,155,17,10,27,8,5,13,2,0,2
