GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,62,12,74,318,106,424,203,59,262,206,65,271
3.750-3.999,88,17,105,370,110,480,401,126,527,704,245,949
3.500-3.749,108,28,136,407,133,540,470,127,597,816,273,1089
3.250-3.499,89,14,103,288,97,385,424,122,546,964,292,1256
3.000-3.249,94,32,126,341,76,417,432,117,549,1009,309,1318
2.750-2.999,78,8,86,200,45,245,303,79,382,786,210,996
2.500-2.749,54,14,68,184,40,224,212,37,249,509,131,640
2.250-2.499,44,5,49,102,26,128,120,25,145,270,62,332
2.000-2.249,38,3,41,51,15,66,57,10,67,117,11,128
1.750-1.999,15,1,16,17,6,23,11,2,13,21,4,25
1.500-1.749,15,0,15,3,2,5,3,0,3,1,0,1
1.250-1.499,10,1,11,2,0,2,1,0,1,0,0,0
1.000-1.249,10,0,10,1,0,1,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,1,0,1,0,0,0
0.500-0.749,0,0,0,1,0,1,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,6,1,7,1,0,1,3,0,3,0,0,0
