GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,0,1,3,2,5,10,3,13,4,4,8
3.750-3.999,0,0,0,0,6,6,11,15,26,25,41,66
3.500-3.749,2,0,2,2,8,10,22,21,43,79,52,131
3.250-3.499,1,0,1,3,6,9,27,23,50,104,49,153
3.000-3.249,0,0,0,9,5,14,41,11,52,147,44,191
2.750-2.999,0,0,0,7,3,10,32,5,37,110,31,141
2.500-2.749,0,0,0,4,2,6,33,7,40,60,11,71
2.250-2.499,0,0,0,2,0,2,13,5,18,36,6,42
2.000-2.249,0,0,0,3,1,4,6,2,8,10,2,12
1.750-1.999,0,1,1,1,0,1,1,0,1,0,0,0
1.500-1.749,1,0,1,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,1,1,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
