GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,4,4,2,15,17,9,40,49,5,42,47
3.750-3.999,0,0,0,3,16,19,19,78,97,21,153,174
3.500-3.749,0,1,1,3,18,21,24,104,128,51,237,288
3.250-3.499,1,1,2,6,11,17,24,63,87,74,174,248
3.000-3.249,1,1,2,11,8,19,18,53,71,67,109,176
2.750-2.999,1,0,1,3,5,8,18,20,38,59,79,138
2.500-2.749,2,1,3,3,7,10,17,15,32,53,48,101
2.250-2.499,1,0,1,6,3,9,5,9,14,27,19,46
2.000-2.249,2,0,2,4,2,6,4,4,8,12,6,18
1.750-1.999,0,0,0,0,1,1,0,3,3,2,0,2
1.500-1.749,1,0,1,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,1,0,1,0,0,0,0,0,0
1.000-1.249,2,0,2,0,0,0,1,0,1,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,0,1,0,0,0,0,0,0,0,0,0
