GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,4,6,10,4,9,13,4,11,15,8,18,26
3.750-3.999,0,0,0,3,10,13,13,25,38,26,89,115
3.500-3.749,0,0,0,5,17,22,13,38,51,39,76,115
3.250-3.499,0,1,1,2,11,13,10,36,46,30,72,102
3.000-3.249,2,4,6,4,18,22,14,37,51,25,65,90
2.750-2.999,1,0,1,7,9,16,5,21,26,21,54,75
2.500-2.749,0,2,2,2,9,11,6,16,22,18,37,55
2.250-2.499,0,2,2,1,8,9,6,5,11,7,18,25
2.000-2.249,0,0,0,1,1,2,3,4,7,2,10,12
1.750-1.999,1,0,1,0,1,1,0,3,3,0,1,1
1.500-1.749,0,2,2,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
