GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,63,60,123,57,63,120,29,52,81,40,37,77
3.750-3.999,13,6,19,30,34,64,51,75,126,128,128,256
3.500-3.749,28,35,63,36,58,94,52,75,127,94,123,217
3.250-3.499,29,49,78,36,60,96,44,62,106,82,106,188
3.000-3.249,23,40,63,33,49,82,48,56,104,90,95,185
2.750-2.999,6,18,24,30,25,55,22,32,54,66,58,124
2.500-2.749,20,33,53,19,42,61,25,31,56,44,42,86
2.250-2.499,5,28,33,9,31,40,8,18,26,25,21,46
2.000-2.249,8,17,25,11,26,37,15,17,32,15,10,25
1.750-1.999,4,3,7,6,13,19,2,7,9,3,4,7
1.500-1.749,6,11,17,2,7,9,0,2,2,1,2,3
1.250-1.499,3,8,11,2,2,4,0,0,0,0,1,1
1.000-1.249,0,3,3,1,2,3,0,2,2,0,0,0
0.750-0.999,1,1,2,1,2,3,1,2,3,0,0,0
0.500-0.749,0,4,4,0,0,0,0,1,1,0,0,0
0.250-0.499,1,3,4,0,0,0,1,0,1,0,0,0
0.000-0.249,5,9,14,0,8,8,0,2,2,0,0,0
