GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,6,3,9,5,3,8,7,8,15
3.750-3.999,0,0,0,6,2,8,8,5,13,23,27,50
3.500-3.749,1,2,3,4,13,17,22,12,34,47,35,82
3.250-3.499,2,3,5,4,6,10,10,20,30,41,36,77
3.000-3.249,0,4,4,8,12,20,15,19,34,57,32,89
2.750-2.999,3,1,4,8,7,15,12,11,23,33,30,63
2.500-2.749,1,0,1,4,7,11,14,6,20,29,28,57
2.250-2.499,1,2,3,5,1,6,12,5,17,27,16,43
2.000-2.249,1,0,1,7,4,11,7,3,10,13,8,21
1.750-1.999,0,0,0,1,0,1,8,0,8,4,2,6
1.500-1.749,0,0,0,0,0,0,1,0,1,3,0,3
1.250-1.499,0,0,0,0,1,1,0,0,0,0,0,0
1.000-1.249,2,0,2,0,1,1,1,1,2,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,1,0,1,0,0,0,0,0,0
