GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,8,10,24,88,112,42,114,156,52,108,160
3.750-3.999,6,5,11,34,100,134,97,229,326,166,497,663
3.500-3.749,12,7,19,60,116,176,135,256,391,262,566,828
3.250-3.499,10,14,24,72,94,166,125,212,337,290,490,780
3.000-3.249,12,12,24,64,78,142,112,192,304,282,403,685
2.750-2.999,8,8,16,27,47,74,94,117,211,196,252,448
2.500-2.749,8,13,21,38,40,78,67,82,149,143,158,301
2.250-2.499,7,3,10,24,27,51,49,50,99,70,80,150
2.000-2.249,3,4,7,17,22,39,30,32,62,43,37,80
1.750-1.999,1,1,2,5,8,13,14,10,24,12,8,20
1.500-1.749,2,3,5,6,2,8,4,6,10,0,2,2
1.250-1.499,0,0,0,1,1,2,1,2,3,0,0,0
1.000-1.249,0,1,1,3,3,6,1,0,1,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,3,3,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,2,3,0,1,1,1,1,2,0,0,0
