GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,4,1,5,37,19,56,48,21,69,77,28,105
3.750-3.999,2,0,2,67,32,99,146,50,196,261,110,371
3.500-3.749,1,2,3,79,32,111,153,56,209,351,106,457
3.250-3.499,7,1,8,75,29,104,184,62,246,416,154,570
3.000-3.249,8,3,11,79,32,111,187,57,244,465,150,615
2.750-2.999,14,3,17,66,30,96,133,35,168,371,108,479
2.500-2.749,11,4,15,58,18,76,116,23,139,259,76,335
2.250-2.499,15,3,18,39,12,51,66,20,86,140,32,172
2.000-2.249,7,1,8,22,7,29,35,5,40,55,12,67
1.750-1.999,8,3,11,9,4,13,8,5,13,6,3,9
1.500-1.749,6,1,7,3,0,3,2,0,2,2,1,3
1.250-1.499,3,0,3,2,0,2,3,2,5,0,0,0
1.000-1.249,2,0,2,1,0,1,0,0,0,0,0,0
0.750-0.999,1,0,1,0,1,1,0,0,0,1,0,1
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,1,0,1,0,0,0,0,0,0
0.000-0.249,1,0,1,1,0,1,0,0,0,0,0,0
