GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,37,23,60,178,125,303,76,81,157,54,70,124
3.750-3.999,23,29,52,113,96,209,132,135,267,233,286,519
3.500-3.749,23,25,48,107,103,210,164,145,309,280,289,569
3.250-3.499,32,24,56,79,64,143,142,109,251,240,195,435
3.000-3.249,31,20,51,79,61,140,95,76,171,165,129,294
2.750-2.999,19,10,29,31,40,71,39,38,77,86,64,150
2.500-2.749,17,10,27,29,24,53,28,26,54,48,19,67
2.250-2.499,12,4,16,12,11,23,16,8,24,20,9,29
2.000-2.249,6,4,10,15,3,18,5,7,12,5,4,9
1.750-1.999,1,2,3,4,6,10,2,1,3,2,0,2
1.500-1.749,0,2,2,1,2,3,1,1,2,0,0,0
1.250-1.499,1,0,1,1,1,2,0,0,0,0,0,0
1.000-1.249,1,0,1,0,1,1,0,0,0,0,0,0
0.750-0.999,1,0,1,0,0,0,0,0,0,0,0,0
0.500-0.749,0,1,1,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,2,3,0,1,1,1,0,1,0,0,0
