GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,4,5,1,6,7,2,10,12,1,7,8
3.750-3.999,1,3,4,2,15,17,3,16,19,8,37,45
3.500-3.749,2,3,5,6,15,21,6,20,26,18,41,59
3.250-3.499,1,6,7,5,14,19,5,14,19,13,14,27
3.000-3.249,6,3,9,5,8,13,10,14,24,15,19,34
2.750-2.999,0,0,0,2,7,9,4,8,12,8,7,15
2.500-2.749,0,2,2,0,4,4,3,5,8,1,3,4
2.250-2.499,0,1,1,0,1,1,1,2,3,2,0,2
2.000-2.249,0,1,1,2,0,2,3,1,4,0,2,2
1.750-1.999,1,1,2,0,0,0,0,1,1,0,0,0
1.500-1.749,0,0,0,0,0,0,0,1,1,0,0,0
1.250-1.499,0,1,1,0,0,0,0,0,0,0,0,0
1.000-1.249,1,0,1,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
