GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,1,2,4,21,25,4,14,18,3,21,24
3.750-3.999,1,0,1,1,18,19,6,36,42,16,109,125
3.500-3.749,0,3,3,7,20,27,11,32,43,19,115,134
3.250-3.499,1,0,1,5,15,20,0,30,30,18,76,94
3.000-3.249,1,3,4,6,19,25,7,25,32,12,45,57
2.750-2.999,0,1,1,0,6,6,0,7,7,4,2,6
2.500-2.749,1,0,1,1,3,4,0,2,2,1,1,2
2.250-2.499,1,1,2,0,4,4,0,0,0,0,0,0
2.000-2.249,0,0,0,0,0,0,0,0,0,0,0,0
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,1,1,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
