GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,3,10,13,54,62,116,27,26,53,47,48,95
3.750-3.999,5,4,9,31,25,56,46,63,109,146,150,296
3.500-3.749,5,5,10,35,47,82,52,74,126,110,131,241
3.250-3.499,8,4,12,30,48,78,52,63,115,83,115,198
3.000-3.249,10,12,22,30,49,79,44,57,101,92,106,198
2.750-2.999,8,11,19,21,34,55,31,42,73,71,79,150
2.500-2.749,5,7,12,12,30,42,18,23,41,48,51,99
2.250-2.499,4,6,10,4,21,25,7,13,20,28,32,60
2.000-2.249,5,7,12,9,11,20,14,16,30,13,14,27
1.750-1.999,3,2,5,3,4,7,3,3,6,3,3,6
1.500-1.749,3,0,3,4,6,10,1,2,3,0,1,1
1.250-1.499,0,3,3,2,0,2,0,0,0,0,1,1
1.000-1.249,0,1,1,1,1,2,0,0,0,0,0,0
0.750-0.999,0,0,0,0,1,1,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,1,0,1,0,0,0,0,0,0,0,0,0
0.000-0.249,1,1,2,0,0,0,0,0,0,0,0,0
