GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,2,4,2,2,4,0,0,0,3,3,6
3.750-3.999,4,2,6,7,7,14,7,7,14,9,19,28
3.500-3.749,3,1,4,8,1,9,8,6,14,16,20,36
3.250-3.499,5,8,13,6,4,10,7,13,20,20,13,33
3.000-3.249,6,10,16,9,8,17,7,9,16,22,24,46
2.750-2.999,4,3,7,6,7,13,9,13,22,12,18,30
2.500-2.749,11,3,14,8,15,23,8,5,13,13,16,29
2.250-2.499,3,2,5,3,4,7,4,3,7,10,7,17
2.000-2.249,3,2,5,10,2,12,3,1,4,5,4,9
1.750-1.999,3,1,4,2,1,3,2,0,2,0,0,0
1.500-1.749,1,0,1,1,0,1,0,0,0,0,0,0
1.250-1.499,2,1,3,0,0,0,0,0,0,0,0,0
1.000-1.249,1,1,2,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,1,0,1,0,0,0,0,0,0,0,0,0
0.250-0.499,1,0,1,0,0,0,0,0,0,0,0,0
0.000-0.249,1,0,1,0,0,0,0,0,0,0,0,0
