GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,60,56,116,22,18,40,1,3,4,0,0,0
3.750-3.999,1,1,2,10,14,24,1,0,1,0,1,1
3.500-3.749,83,72,155,25,28,53,3,3,6,0,1,1
3.250-3.499,1,2,3,14,22,36,4,7,11,0,1,1
3.000-3.249,30,51,81,15,25,40,5,10,15,2,4,6
2.750-2.999,4,1,5,15,17,32,6,17,23,0,2,2
2.500-2.749,14,13,27,22,15,37,17,6,23,0,3,3
2.250-2.499,5,4,9,11,15,26,13,9,22,1,1,2
2.000-2.249,6,8,14,6,12,18,14,12,26,0,1,1
1.750-1.999,2,2,4,2,5,7,3,1,4,0,0,0
1.500-1.749,4,0,4,1,3,4,1,0,1,0,0,0
1.250-1.499,2,1,3,0,0,0,0,1,1,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,1,1,0,0,0,0,0,0,0,0,0
