GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,0,5,5,0,4,4,2,6,8
3.750-3.999,0,0,0,2,2,4,4,11,15,4,23,27
3.500-3.749,0,0,0,1,3,4,4,17,21,5,29,34
3.250-3.499,0,0,0,0,7,7,0,11,11,5,31,36
3.000-3.249,0,0,0,0,3,3,2,8,10,5,18,23
2.750-2.999,0,0,0,0,1,1,0,1,1,0,2,2
2.500-2.749,0,0,0,0,0,0,0,1,1,0,1,1
2.250-2.499,0,0,0,0,0,0,0,0,0,0,0,0
2.000-2.249,0,0,0,0,0,0,0,0,0,0,0,0
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
