GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,3,15,18,20,55,75,16,66,82,6,88,94
3.750-3.999,9,21,30,14,49,63,32,103,135,58,342,400
3.500-3.749,13,27,40,23,68,91,36,105,141,115,297,412
3.250-3.499,22,27,49,30,50,80,49,75,124,86,223,309
3.000-3.249,18,29,47,23,55,78,47,60,107,76,125,201
2.750-2.999,21,20,41,18,21,39,36,36,72,74,68,142
2.500-2.749,16,14,30,19,21,40,27,16,43,38,43,81
2.250-2.499,7,12,19,4,14,18,5,10,15,23,13,36
2.000-2.249,2,8,10,6,9,15,6,8,14,10,3,13
1.750-1.999,5,3,8,3,4,7,2,2,4,0,2,2
1.500-1.749,4,1,5,2,2,4,2,0,2,0,0,0
1.250-1.499,1,3,4,1,0,1,0,0,0,0,0,0
1.000-1.249,1,2,3,0,0,0,0,0,0,0,0,0
0.750-0.999,1,1,2,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,1,1,0,0,0
0.250-0.499,0,2,2,0,0,0,0,0,0,0,0,0
0.000-0.249,3,2,5,2,1,3,0,0,0,0,0,0
