GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,8,64,72,6,87,93,12,71,83,6,64,70
3.750-3.999,1,23,24,4,64,68,18,80,98,38,258,296
3.500-3.749,4,27,31,6,64,70,18,113,131,46,301,347
3.250-3.499,3,38,41,6,64,70,18,112,130,25,204,229
3.000-3.249,5,41,46,6,56,62,12,64,76,21,118,139
2.750-2.999,3,19,22,4,18,22,9,29,38,14,27,41
2.500-2.749,7,23,30,3,21,24,3,11,14,1,14,15
2.250-2.499,0,9,9,4,7,11,1,7,8,0,2,2
2.000-2.249,2,13,15,0,5,5,0,4,4,0,0,0
1.750-1.999,1,5,6,1,3,4,0,0,0,0,0,0
1.500-1.749,0,1,1,0,2,2,0,0,0,0,0,0
1.250-1.499,0,1,1,0,0,0,0,1,1,0,0,0
1.000-1.249,0,2,2,0,1,1,0,0,0,0,0,0
0.750-0.999,0,1,1,0,0,0,0,0,0,0,0,0
0.500-0.749,1,0,1,1,0,1,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,2,1,3,0,2,2,0,0,0,0,0,0
