GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,1,2,9,13,22,16,21,37,11,24,35
3.750-3.999,1,2,3,3,22,25,22,26,48,47,94,141
3.500-3.749,3,1,4,16,12,28,23,26,49,64,59,123
3.250-3.499,2,2,4,9,11,20,25,27,52,62,63,125
3.000-3.249,2,1,3,17,13,30,26,32,58,54,43,97
2.750-2.999,2,1,3,8,9,17,13,7,20,26,29,55
2.500-2.749,1,0,1,6,5,11,12,15,27,20,22,42
2.250-2.499,2,2,4,4,1,5,7,3,10,6,7,13
2.000-2.249,2,0,2,3,0,3,4,3,7,5,3,8
1.750-1.999,0,0,0,2,0,2,2,3,5,1,0,1
1.500-1.749,0,1,1,0,0,0,1,1,2,2,0,2
1.250-1.499,1,0,1,0,0,0,0,1,1,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,1,0,1,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,1,1,0,0,0,0,0,0
