GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,0,1,11,27,38,4,58,62,3,91,94
3.750-3.999,0,2,2,15,54,69,29,112,141,56,337,393
3.500-3.749,1,2,3,11,45,56,42,108,150,111,309,420
3.250-3.499,2,10,12,25,43,68,43,82,125,101,217,318
3.000-3.249,1,3,4,19,43,62,37,53,90,78,149,227
2.750-2.999,2,3,5,15,23,38,32,31,63,55,71,126
2.500-2.749,2,6,8,11,14,25,29,26,55,43,42,85
2.250-2.499,1,3,4,2,4,6,11,11,22,25,12,37
2.000-2.249,1,1,2,6,4,10,6,3,9,9,3,12
1.750-1.999,0,0,0,2,0,2,2,1,3,2,0,2
1.500-1.749,0,1,1,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,1,0,1,0,0,0
1.000-1.249,0,1,1,0,1,1,1,0,1,0,0,0
0.750-0.999,0,0,0,0,0,0,1,0,1,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,1,1,2,0,0,0,0,0,0
