GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,8,4,12,4,5,9,7,4,11
3.750-3.999,0,0,0,4,2,6,8,5,13,28,23,51
3.500-3.749,0,0,0,3,4,7,13,5,18,62,19,81
3.250-3.499,0,0,0,5,2,7,15,8,23,67,21,88
3.000-3.249,0,1,1,5,1,6,23,9,32,80,17,97
2.750-2.999,0,0,0,3,0,3,17,3,20,59,9,68
2.500-2.749,0,0,0,5,0,5,13,4,17,40,5,45
2.250-2.499,0,0,0,0,3,3,8,2,10,12,3,15
2.000-2.249,0,0,0,0,0,0,2,2,4,2,1,3
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,1,1,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,1,1,0,0,0,0,1,1,0,0,0
