GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,2,0,2,5,9,14,2,7,9
3.750-3.999,0,0,0,0,2,2,4,6,10,14,23,37
3.500-3.749,0,0,0,1,5,6,7,3,10,12,14,26
3.250-3.499,0,1,1,0,1,1,12,10,22,13,21,34
3.000-3.249,0,0,0,1,1,2,7,7,14,16,24,40
2.750-2.999,0,0,0,2,1,3,4,3,7,11,14,25
2.500-2.749,0,0,0,2,2,4,3,2,5,5,10,15
2.250-2.499,0,0,0,2,0,2,6,2,8,7,4,11
2.000-2.249,0,0,0,1,0,1,0,0,0,2,2,4
1.750-1.999,0,0,0,0,0,0,1,2,3,1,1,2
1.500-1.749,0,0,0,0,0,0,0,0,0,0,0,0
1.250-1.499,1,0,1,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
