GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,5,17,22,19,30,49,24,21,45,8,13,21
3.750-3.999,6,13,19,21,34,55,50,29,79,99,71,170
3.500-3.749,5,16,21,46,30,76,93,45,138,145,94,239
3.250-3.499,17,9,26,40,21,61,83,31,114,189,60,249
3.000-3.249,17,12,29,35,28,63,125,26,151,173,42,215
2.750-2.999,10,4,14,20,7,27,56,11,67,128,22,150
2.500-2.749,7,7,14,14,7,21,38,13,51,70,13,83
2.250-2.499,7,0,7,7,3,10,22,6,28,20,6,26
2.000-2.249,2,0,2,5,2,7,4,2,6,5,1,6
1.750-1.999,0,0,0,1,2,3,3,1,4,4,2,6
1.500-1.749,1,0,1,0,0,0,0,0,0,0,0,0
1.250-1.499,2,0,2,0,0,0,1,0,1,0,0,0
1.000-1.249,1,0,1,0,0,0,0,0,0,0,0,0
0.750-0.999,0,1,1,1,0,1,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,1,1,0,0,0,0,0,0,0,0,0
