GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,0,1,21,11,32,14,12,26,10,21,31
3.750-3.999,2,4,6,28,13,41,54,29,83,86,70,156
3.500-3.749,8,5,13,44,24,68,65,37,102,152,91,243
3.250-3.499,5,8,13,41,20,61,100,19,119,188,64,252
3.000-3.249,2,6,8,38,22,60,86,16,102,181,40,221
2.750-2.999,3,4,7,21,13,34,55,16,71,111,19,130
2.500-2.749,4,0,4,22,14,36,30,6,36,67,9,76
2.250-2.499,2,3,5,8,2,10,17,3,20,19,4,23
2.000-2.249,5,1,6,2,0,2,4,2,6,1,1,2
1.750-1.999,0,3,3,0,0,0,2,2,4,1,1,2
1.500-1.749,0,0,0,2,0,2,1,1,2,0,0,0
1.250-1.499,1,0,1,0,0,0,1,0,1,0,0,0
1.000-1.249,2,0,2,1,0,1,0,0,0,0,0,0
0.750-0.999,0,1,1,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,2,0,2,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
