GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,12,10,22,110,171,281,107,172,279,164,298,462
3.750-3.999,13,17,30,94,172,266,198,308,506,427,821,1248
3.500-3.749,17,19,36,103,196,299,200,373,573,417,923,1340
3.250-3.499,20,26,46,91,183,274,185,346,531,417,858,1275
3.000-3.249,29,30,59,111,181,292,179,265,444,407,635,1042
2.750-2.999,22,16,38,70,96,166,121,162,283,335,409,744
2.500-2.749,21,19,40,54,91,145,98,124,222,221,275,496
2.250-2.499,20,29,49,37,60,97,68,76,144,169,144,313
2.000-2.249,8,14,22,21,39,60,37,42,79,101,79,180
1.750-1.999,6,9,15,12,15,27,16,26,42,21,24,45
1.500-1.749,2,8,10,8,8,16,3,7,10,1,1,2
1.250-1.499,0,3,3,0,2,2,1,1,2,0,0,0
1.000-1.249,2,4,6,2,1,3,0,1,1,0,0,0
0.750-0.999,1,1,2,0,2,2,0,0,0,0,0,0
0.500-0.749,2,0,2,0,0,0,0,0,0,0,0,0
0.250-0.499,0,1,1,0,1,1,0,0,0,0,0,0
0.000-0.249,3,2,5,3,2,5,1,0,1,0,0,0
