GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,63,57,120,72,95,167,13,18,31,0,0,0
3.750-3.999,20,18,38,54,69,123,24,35,59,2,1,3
3.500-3.749,52,76,128,80,142,222,28,37,65,3,5,8
3.250-3.499,39,45,84,83,104,187,28,47,75,3,5,8
3.000-3.249,73,62,135,98,124,222,34,46,80,6,4,10
2.750-2.999,27,42,69,85,84,169,40,58,98,3,9,12
2.500-2.749,42,53,95,82,78,160,49,54,103,8,10,18
2.250-2.499,33,35,68,59,65,124,28,38,66,8,9,17
2.000-2.249,25,31,56,61,49,110,41,28,69,7,8,15
1.750-1.999,15,17,32,39,28,67,7,9,16,1,2,3
1.500-1.749,17,22,39,18,21,39,9,10,19,0,0,0
1.250-1.499,6,16,22,6,4,10,1,3,4,0,1,1
1.000-1.249,12,12,24,4,5,9,1,0,1,0,0,0
0.750-0.999,6,5,11,2,0,2,0,0,0,0,0,0
0.500-0.749,6,4,10,1,4,5,0,0,0,0,0,0
0.250-0.499,5,3,8,2,0,2,0,0,0,0,0,0
0.000-0.249,5,6,11,1,2,3,0,0,0,0,0,0
