GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,5,8,13,3,2,5,4,7,11
3.750-3.999,0,1,1,1,17,18,4,17,21,10,55,65
3.500-3.749,1,6,7,3,10,13,11,24,35,18,45,63
3.250-3.499,3,1,4,5,12,17,8,9,17,22,23,45
3.000-3.249,2,2,4,5,2,7,3,7,10,8,28,36
2.750-2.999,1,0,1,1,4,5,5,4,9,4,10,14
2.500-2.749,0,2,2,2,0,2,2,4,6,3,1,4
2.250-2.499,0,0,0,1,1,2,0,0,0,1,4,5
2.000-2.249,0,0,0,1,0,1,1,3,4,1,1,2
1.750-1.999,0,0,0,1,0,1,0,0,0,0,0,0
1.500-1.749,1,0,1,0,0,0,0,0,0,0,0,0
1.250-1.499,0,1,1,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
