GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,2,4,15,21,36,27,55,82,50,86,136
3.750-3.999,1,1,2,13,23,36,46,88,134,128,211,339
3.500-3.749,1,3,4,14,34,48,57,126,183,113,293,406
3.250-3.499,0,1,1,13,35,48,47,94,141,126,276,402
3.000-3.249,2,6,8,16,31,47,57,100,157,121,235,356
2.750-2.999,1,2,3,11,20,31,48,68,116,84,166,250
2.500-2.749,1,3,4,13,19,32,28,45,73,74,123,197
2.250-2.499,4,4,8,11,13,24,17,31,48,68,67,135
2.000-2.249,4,3,7,4,9,13,10,11,21,32,49,81
1.750-1.999,0,3,3,2,3,5,2,3,5,8,5,13
1.500-1.749,0,0,0,0,0,0,0,1,1,0,0,0
1.250-1.499,0,0,0,0,0,0,0,1,1,1,0,1
1.000-1.249,0,0,0,1,0,1,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,1,0,1,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,2,5,7,0,1,1,0,6,6,2,1,3
