GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,5,2,7,2,4,6,2,20,22,5,33,38
3.750-3.999,0,0,0,2,9,11,10,43,53,27,97,124
3.500-3.749,2,0,2,4,11,15,14,52,66,40,100,140
3.250-3.499,0,0,0,6,11,17,14,29,43,46,92,138
3.000-3.249,4,1,5,5,5,10,17,20,37,36,59,95
2.750-2.999,1,1,2,6,3,9,8,11,19,32,38,70
2.500-2.749,3,0,3,3,1,4,8,6,14,21,21,42
2.250-2.499,0,0,0,2,1,3,3,4,7,6,3,9
2.000-2.249,1,2,3,2,1,3,1,0,1,4,2,6
1.750-1.999,2,0,2,0,1,1,0,3,3,2,0,2
1.500-1.749,1,0,1,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,1,0,1,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
