GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,3,1,4,1,0,1,4,3,7
3.750-3.999,0,0,0,3,1,4,2,6,8,8,3,11
3.500-3.749,0,0,0,6,2,8,11,1,12,17,8,25
3.250-3.499,1,0,1,6,1,7,5,1,6,28,4,32
3.000-3.249,1,1,2,10,1,11,9,5,14,25,10,35
2.750-2.999,0,0,0,5,0,5,5,5,10,15,6,21
2.500-2.749,2,0,2,10,2,12,6,6,12,16,4,20
2.250-2.499,1,1,2,5,3,8,6,3,9,8,5,13
2.000-2.249,2,1,3,2,1,3,3,1,4,8,3,11
1.750-1.999,1,0,1,0,3,3,3,0,3,1,1,2
1.500-1.749,2,0,2,1,0,1,0,1,1,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,0,0
0.750-0.999,1,0,1,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,0,0
