GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,14,35,49,31,89,120,65,130,195,144,295,439
3.750-3.999,11,15,26,27,57,84,59,92,151,88,170,258
3.500-3.749,16,52,68,48,93,141,78,127,205,177,263,440
3.250-3.499,11,28,39,52,83,135,112,126,238,172,236,408
3.000-3.249,21,42,63,60,104,164,128,152,280,231,257,488
2.750-2.999,9,32,41,47,45,92,76,83,159,138,130,268
2.500-2.749,14,29,43,39,48,87,72,71,143,114,154,268
2.250-2.499,9,21,30,33,39,72,51,65,116,68,80,148
2.000-2.249,3,14,17,28,31,59,50,47,97,72,68,140
1.750-1.999,3,8,11,14,14,28,19,11,30,23,28,51
1.500-1.749,4,8,12,8,8,16,23,16,39,30,16,46
1.250-1.499,1,4,5,4,9,13,15,8,23,12,16,28
1.000-1.249,4,3,7,6,4,10,10,7,17,11,16,27
0.750-0.999,2,0,2,1,3,4,0,8,8,6,11,17
0.500-0.749,3,1,4,2,3,5,4,5,9,6,2,8
0.250-0.499,1,1,2,3,0,3,2,2,4,4,2,6
0.000-0.249,3,11,14,10,12,22,11,13,24,20,18,38
