GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,35,37,27,157,184,38,243,281,101,609,710
3.750-3.999,5,22,27,26,87,113,32,124,156,52,302,354
3.500-3.749,10,26,36,25,92,117,64,170,234,78,282,360
3.250-3.499,13,32,45,25,78,103,67,117,184,86,180,266
3.000-3.249,9,39,48,31,91,122,50,106,156,97,186,283
2.750-2.999,12,31,43,18,36,54,26,37,63,56,64,120
2.500-2.749,9,19,28,19,36,55,25,35,60,63,41,104
2.250-2.499,4,12,16,13,14,27,12,12,24,30,33,63
2.000-2.249,9,18,27,9,29,38,20,9,29,33,43,76
1.750-1.999,3,11,14,4,10,14,3,5,8,7,9,16
1.500-1.749,4,4,8,3,9,12,1,11,12,17,8,25
1.250-1.499,0,3,3,3,1,4,2,1,3,4,5,9
1.000-1.249,0,5,5,2,2,4,3,1,4,2,4,6
0.750-0.999,1,2,3,2,0,2,1,1,2,4,1,5
0.500-0.749,0,1,1,0,0,0,2,1,3,0,6,6
0.250-0.499,0,0,0,0,0,0,0,0,0,1,0,1
0.000-0.249,2,6,8,4,4,8,7,6,13,15,180,195
