GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,44,83,127,59,113,172,24,31,55,0,5,5
3.750-3.999,3,1,4,10,26,36,8,19,27,0,1,1
3.500-3.749,26,38,64,65,74,139,29,28,57,1,1,2
3.250-3.499,8,17,25,32,40,72,19,27,46,6,0,6
3.000-3.249,58,61,119,82,83,165,28,42,70,2,3,5
2.750-2.999,2,5,7,27,34,61,15,15,30,4,3,7
2.500-2.749,19,19,38,36,31,67,13,9,22,2,2,4
2.250-2.499,11,7,18,24,22,46,14,9,23,1,2,3
2.000-2.249,22,23,45,30,32,62,19,5,24,4,0,4
1.750-1.999,4,6,10,4,8,12,2,4,6,1,0,1
1.500-1.749,3,7,10,14,11,25,8,4,12,0,1,1
1.250-1.499,2,4,6,7,4,11,2,1,3,0,0,0
1.000-1.249,8,3,11,6,9,15,6,2,8,0,0,0
0.750-0.999,2,4,6,3,1,4,2,1,3,0,0,0
0.500-0.749,6,0,6,7,3,10,1,0,1,0,0,0
0.250-0.499,0,2,2,4,1,5,1,0,1,0,0,0
0.000-0.249,26,3,29,12,10,22,5,2,7,0,0,0
