GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,1,3,14,20,34,64,35,99,193,118,311
3.750-3.999,0,1,1,20,8,28,41,27,68,51,57,108
3.500-3.749,1,2,3,39,25,64,60,39,99,86,78,164
3.250-3.499,4,2,6,22,18,40,65,21,86,110,64,174
3.000-3.249,4,5,9,50,21,71,82,34,116,179,76,255
2.750-2.999,2,2,4,14,11,25,50,14,64,100,25,125
2.500-2.749,5,4,9,32,10,42,43,12,55,94,26,120
2.250-2.499,2,3,5,8,3,11,33,8,41,66,13,79
2.000-2.249,2,2,4,18,3,21,20,5,25,46,11,57
1.750-1.999,4,0,4,4,2,6,8,5,13,10,3,13
1.500-1.749,0,2,2,4,1,5,10,0,10,9,2,11
1.250-1.499,1,0,1,5,1,6,6,0,6,5,4,9
1.000-1.249,0,1,1,1,0,1,2,2,4,5,3,8
0.750-0.999,0,0,0,0,0,0,0,0,0,1,0,1
0.500-0.749,0,0,0,2,0,2,1,0,1,0,2,2
0.250-0.499,0,0,0,0,0,0,0,0,0,4,0,4
0.000-0.249,1,0,1,4,3,7,5,2,7,6,7,13
