GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,6,11,17,44,104,148,73,242,315,207,553,760
3.750-3.999,6,6,12,42,76,118,80,163,243,136,290,426
3.500-3.749,10,13,23,60,85,145,94,188,282,199,390,589
3.250-3.499,12,12,24,63,95,158,112,177,289,193,329,522
3.000-3.249,7,15,22,69,114,183,139,203,342,227,346,573
2.750-2.999,13,8,21,34,52,86,69,92,161,105,155,260
2.500-2.749,10,10,20,44,34,78,92,79,171,116,119,235
2.250-2.499,3,8,11,33,34,67,44,48,92,71,83,154
2.000-2.249,4,3,7,28,28,56,37,42,79,74,72,146
1.750-1.999,2,4,6,6,5,11,19,19,38,14,25,39
1.500-1.749,1,3,4,15,11,26,11,8,19,15,19,34
1.250-1.499,2,1,3,4,7,11,8,4,12,4,16,20
1.000-1.249,1,0,1,10,7,17,11,8,19,11,10,21
0.750-0.999,1,0,1,1,2,3,5,2,7,5,4,9
0.500-0.749,1,1,2,6,1,7,2,2,4,1,9,10
0.250-0.499,0,0,0,2,1,3,0,2,2,2,2,4
0.000-0.249,5,2,7,17,16,33,24,14,38,28,21,49
