GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,193,128,321,745,792,1537,686,932,1618,1939,2920,4859
3.750-3.999,62,36,98,454,488,942,499,637,1136,1075,1314,2389
3.500-3.749,152,120,272,630,660,1290,745,867,1612,1672,1872,3544
3.250-3.499,123,91,214,588,572,1160,787,789,1576,1654,1490,3144
3.000-3.249,315,165,480,814,726,1540,1035,812,1847,1963,1508,3471
2.750-2.999,112,82,194,358,337,695,598,441,1039,1006,678,1684
2.500-2.749,120,92,212,419,308,727,641,398,1039,992,574,1566
2.250-2.499,82,59,141,251,199,450,387,220,607,618,375,993
2.000-2.249,144,72,216,268,183,451,348,199,547,541,336,877
1.750-1.999,38,35,73,83,58,141,125,73,198,156,114,270
1.500-1.749,32,21,53,92,64,156,122,63,185,148,87,235
1.250-1.499,23,22,45,58,41,99,77,30,107,82,52,134
1.000-1.249,52,13,65,71,28,99,67,33,100,91,47,138
0.750-0.999,17,4,21,19,11,30,25,10,35,20,19,39
0.500-0.749,15,9,24,31,11,42,24,8,32,26,19,45
0.250-0.499,9,3,12,13,6,19,6,4,10,16,9,25
0.000-0.249,100,41,141,108,67,175,117,48,165,186,347,533
