GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,23,40,63,41,60,101,25,39,64,0,2,2
3.750-3.999,0,0,0,1,2,3,1,0,1,0,1,1
3.500-3.749,29,28,57,5,7,12,7,6,13,1,1,2
3.250-3.499,0,0,0,2,4,6,2,5,7,1,0,1
3.000-3.249,11,13,24,23,15,38,18,17,35,1,2,3
2.750-2.999,0,0,0,0,0,0,0,0,0,0,0,0
2.500-2.749,6,12,18,3,7,10,4,3,7,1,0,1
2.250-2.499,0,0,0,0,1,1,0,0,0,0,0,0
2.000-2.249,5,2,7,6,2,8,9,6,15,0,0,0
1.750-1.999,0,0,0,0,0,0,1,1,2,0,0,0
1.500-1.749,2,0,2,2,0,2,1,0,1,0,0,0
1.250-1.499,0,0,0,0,1,1,0,0,0,0,0,0
1.000-1.249,4,0,4,3,2,5,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,1,0,1,0,0,0
0.500-0.749,0,0,0,1,1,2,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,3,4,2,4,6,0,3,3,0,0,0
