GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,1,3,20,20,40,41,53,94,76,78,154
3.750-3.999,0,0,0,0,2,2,1,0,1,3,0,3
3.500-3.749,0,0,0,5,2,7,8,4,12,13,10,23
3.250-3.499,0,0,0,0,3,3,5,2,7,3,2,5
3.000-3.249,1,1,2,5,3,8,13,11,24,19,27,46
2.750-2.999,0,0,0,0,1,1,1,0,1,3,2,5
2.500-2.749,1,0,1,1,1,2,4,2,6,7,9,16
2.250-2.499,0,0,0,1,0,1,0,3,3,3,3,6
2.000-2.249,1,0,1,1,1,2,4,4,8,13,8,21
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,1,1,0,0,0,0,2,2,8,3,11
1.250-1.499,0,0,0,0,0,0,0,1,1,3,6,9
1.000-1.249,0,0,0,0,3,3,3,2,5,7,6,13
0.750-0.999,0,0,0,0,0,0,1,0,1,0,0,0
0.500-0.749,0,0,0,0,1,1,0,0,0,2,0,2
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,1,1,2,0,2,4,3,7,5,14,19
