GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,3,2,5,8,7,15,11,11,22,12,10,22
3.750-3.999,0,0,0,0,0,0,0,0,0,0,0,0
3.500-3.749,2,1,3,2,2,4,1,2,3,3,1,4
3.250-3.499,0,0,0,1,0,1,1,1,2,0,4,4
3.000-3.249,5,4,9,7,7,14,3,8,11,7,9,16
2.750-2.999,1,0,1,1,1,2,0,0,0,0,0,0
2.500-2.749,2,1,3,2,4,6,0,1,1,0,1,1
2.250-2.499,3,0,3,1,4,5,0,0,0,0,0,0
2.000-2.249,3,2,5,1,6,7,3,3,6,1,3,4
1.750-1.999,0,0,0,0,0,0,0,1,1,0,0,0
1.500-1.749,1,0,1,2,0,2,0,1,1,0,0,0
1.250-1.499,0,1,1,0,0,0,0,1,1,0,0,0
1.000-1.249,1,2,3,1,0,1,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,1,1,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,3,0,3,0,0,0,0,1,1,4,2,6
