GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,14,63,77,75,200,275,143,280,423,212,646,858
3.750-3.999,32,38,70,54,147,201,93,197,290,166,402,568
3.500-3.749,32,27,59,72,132,204,129,235,364,226,381,607
3.250-3.499,29,37,66,63,100,163,114,165,279,157,286,443
3.000-3.249,36,30,66,85,107,192,136,177,313,218,292,510
2.750-2.999,13,21,34,36,41,77,62,69,131,102,89,191
2.500-2.749,14,16,30,34,44,78,49,79,128,90,102,192
2.250-2.499,7,15,22,13,29,42,33,35,68,65,40,105
2.000-2.249,8,6,14,25,25,50,36,39,75,47,51,98
1.750-1.999,3,1,4,6,8,14,11,12,23,14,15,29
1.500-1.749,4,5,9,10,13,23,17,18,35,15,18,33
1.250-1.499,1,2,3,5,8,13,9,4,13,5,10,15
1.000-1.249,1,2,3,3,6,9,10,9,19,10,4,14
0.750-0.999,0,0,0,4,1,5,3,7,10,1,1,2
0.500-0.749,1,2,3,1,3,4,1,1,2,4,3,7
0.250-0.499,1,2,3,2,0,2,3,0,3,2,3,5
0.000-0.249,6,4,10,10,9,19,27,20,47,33,29,62
