GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,1,1,5,17,22,8,20,28,25,73,98
3.750-3.999,1,2,3,3,15,18,9,17,26,16,15,31
3.500-3.749,1,3,4,5,8,13,6,11,17,12,27,39
3.250-3.499,1,3,4,5,7,12,4,5,9,9,21,30
3.000-3.249,2,1,3,2,3,5,5,6,11,3,12,15
2.750-2.999,2,1,3,0,2,2,1,5,6,1,8,9
2.500-2.749,0,1,1,3,1,4,2,1,3,1,7,8
2.250-2.499,0,1,1,1,1,2,1,1,2,0,3,3
2.000-2.249,0,0,0,1,0,1,0,3,3,1,3,4
1.750-1.999,0,0,0,0,0,0,0,0,0,0,2,2
1.500-1.749,0,0,0,0,0,0,1,0,1,1,1,2
1.250-1.499,0,0,0,0,0,0,0,0,0,1,0,1
1.000-1.249,1,0,1,0,0,0,0,1,1,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,1,0,1
0.500-0.749,0,1,1,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,0,0,0,2,2
