GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,9,10,19,51,119,170,58,152,210,165,366,531
3.750-3.999,2,1,3,6,27,33,40,71,111,41,103,144
3.500-3.749,5,11,16,30,62,92,37,100,137,64,154,218
3.250-3.499,5,8,13,25,58,83,13,62,75,36,83,119
3.000-3.249,6,11,17,25,47,72,16,30,46,29,71,100
2.750-2.999,0,5,5,1,16,17,8,10,18,9,25,34
2.500-2.749,2,2,4,1,18,19,2,8,10,13,24,37
2.250-2.499,1,7,8,3,8,11,4,4,8,8,8,16
2.000-2.249,1,6,7,3,6,9,2,4,6,6,10,16
1.750-1.999,0,0,0,1,1,2,0,3,3,1,5,6
1.500-1.749,0,0,0,0,0,0,1,3,4,1,0,1
1.250-1.499,0,0,0,0,1,1,1,0,1,1,1,2
1.000-1.249,0,1,1,0,0,0,0,0,0,3,8,11
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,5,2,7,4,1,5,2,2,4,29,22,51
