GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,4,4,13,47,60,61,204,265,113,428,541
3.750-3.999,0,0,0,0,1,1,1,7,8,5,22,27
3.500-3.749,0,1,1,3,4,7,15,38,53,44,100,144
3.250-3.499,0,0,0,0,5,5,4,21,25,24,44,68
3.000-3.249,3,2,5,7,17,24,30,61,91,79,136,215
2.750-2.999,0,0,0,1,0,1,0,4,4,7,11,18
2.500-2.749,2,0,2,2,3,5,4,11,15,33,28,61
2.250-2.499,0,0,0,0,1,1,2,6,8,8,12,20
2.000-2.249,4,0,4,2,3,5,8,21,29,29,30,59
1.750-1.999,0,0,0,0,0,0,0,1,1,2,3,5
1.500-1.749,0,0,0,0,0,0,2,2,4,3,9,12
1.250-1.499,0,0,0,0,0,0,0,0,0,1,0,1
1.000-1.249,2,0,2,2,2,4,4,3,7,1,6,7
0.750-0.999,0,0,0,1,0,1,0,0,0,0,1,1
0.500-0.749,0,0,0,1,0,1,1,0,1,0,0,0
0.250-0.499,0,0,0,0,0,0,2,0,2,0,0,0
0.000-0.249,1,1,2,10,3,13,5,10,15,22,37,59
