GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,0,1,4,3,7,11,10,21,27,32,59
3.750-3.999,0,0,0,0,0,0,1,2,3,2,0,2
3.500-3.749,0,0,0,1,2,3,5,1,6,6,10,16
3.250-3.499,0,0,0,1,0,1,2,2,4,2,5,7
3.000-3.249,0,0,0,3,3,6,11,7,18,20,14,34
2.750-2.999,0,0,0,0,0,0,3,1,4,2,3,5
2.500-2.749,0,0,0,2,2,4,2,1,3,7,3,10
2.250-2.499,0,0,0,0,0,0,0,0,0,1,6,7
2.000-2.249,0,0,0,1,0,1,4,4,8,4,9,13
1.750-1.999,0,0,0,0,0,0,0,0,0,3,0,3
1.500-1.749,0,0,0,1,0,1,1,0,1,1,3,4
1.250-1.499,0,0,0,0,0,0,1,0,1,2,0,2
1.000-1.249,0,0,0,0,1,1,0,0,0,0,1,1
0.750-0.999,0,0,0,0,0,0,1,0,1,1,2,3
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,1,0,1
0.000-0.249,1,0,1,0,0,0,2,3,5,16,12,28
