GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,7,14,21,38,78,116,103,295,398,231,488,719
3.750-3.999,0,0,0,0,1,1,2,10,12,16,27,43
3.500-3.749,0,4,4,7,16,23,51,76,127,88,131,219
3.250-3.499,0,1,1,2,2,4,8,31,39,23,62,85
3.000-3.249,2,5,7,14,27,41,61,115,176,116,149,265
2.750-2.999,0,0,0,1,0,1,6,8,14,10,8,18
2.500-2.749,2,1,3,3,8,11,15,22,37,30,37,67
2.250-2.499,0,0,0,1,4,5,1,5,6,16,14,30
2.000-2.249,3,0,3,9,7,16,23,21,44,33,40,73
1.750-1.999,0,0,0,0,0,0,0,0,0,4,2,6
1.500-1.749,0,0,0,4,1,5,6,9,15,4,12,16
1.250-1.499,0,0,0,0,0,0,2,1,3,0,2,2
1.000-1.249,0,2,2,0,2,2,8,6,14,8,7,15
0.750-0.999,0,0,0,0,0,0,0,0,0,1,1,2
0.500-0.749,0,0,0,0,0,0,0,1,1,0,2,2
0.250-0.499,0,0,0,1,0,1,0,1,1,0,1,1
0.000-0.249,1,2,3,6,10,16,21,23,44,43,62,105
