GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,2,2,4,15,19,10,34,44,13,55,68
3.750-3.999,0,0,0,0,0,0,0,1,1,1,2,3
3.500-3.749,0,0,0,1,4,5,3,15,18,6,13,19
3.250-3.499,0,0,0,1,0,1,1,6,7,5,7,12
3.000-3.249,0,1,1,1,3,4,1,7,8,3,25,28
2.750-2.999,0,0,0,0,1,1,0,1,1,0,1,1
2.500-2.749,0,0,0,0,1,1,0,0,0,0,3,3
2.250-2.499,0,0,0,0,0,0,1,1,2,0,1,1
2.000-2.249,0,0,0,1,0,1,1,1,2,1,1,2
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,0,0,0,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,1,1,0,0,0,1,0,1
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,0,0,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,1,1,0,1,1,1,5,6,4,3,7
