GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,3,3,6,4,7,11,16,20,36,50,41,91
3.750-3.999,2,0,2,2,5,7,4,7,11,26,18,44
3.500-3.749,2,4,6,8,9,17,11,21,32,39,31,70
3.250-3.499,4,4,8,6,13,19,12,14,26,28,24,52
3.000-3.249,2,7,9,11,13,24,13,14,27,38,20,58
2.750-2.999,3,3,6,2,6,8,15,3,18,18,11,29
2.500-2.749,4,5,9,11,7,18,15,9,24,22,18,40
2.250-2.499,1,4,5,1,2,3,5,4,9,13,9,22
2.000-2.249,0,4,4,1,4,5,9,5,14,14,10,24
1.750-1.999,2,2,4,2,1,3,0,3,3,5,4,9
1.500-1.749,0,1,1,0,2,2,4,1,5,7,6,13
1.250-1.499,3,0,3,0,0,0,0,1,1,5,1,6
1.000-1.249,0,1,1,1,1,2,4,1,5,3,2,5
0.750-0.999,0,1,1,1,0,1,0,0,0,0,1,1
0.500-0.749,0,0,0,1,0,1,1,0,1,1,1,2
0.250-0.499,1,0,1,0,1,1,1,0,1,0,0,0
0.000-0.249,0,0,0,3,1,4,3,1,4,6,3,9
