GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,4,15,19,7,35,42,2,21,23,18,128,146
3.750-3.999,2,3,5,2,10,12,1,20,21,14,61,75
3.500-3.749,5,15,20,4,31,35,7,45,52,9,60,69
3.250-3.499,3,7,10,5,12,17,6,19,25,9,36,45
3.000-3.249,2,10,12,3,17,20,4,14,18,13,30,43
2.750-2.999,1,11,12,0,10,10,0,6,6,3,13,16
2.500-2.749,0,7,7,2,4,6,0,9,9,3,9,12
2.250-2.499,1,2,3,1,1,2,0,2,2,4,4,8
2.000-2.249,0,2,2,1,0,1,2,2,4,0,1,1
1.750-1.999,0,0,0,0,0,0,0,0,0,0,2,2
1.500-1.749,0,0,0,0,0,0,0,3,3,0,1,1
1.250-1.499,0,1,1,0,0,0,0,0,0,0,0,0
1.000-1.249,0,2,2,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,0,0,1,0,1
0.500-0.749,0,0,0,0,0,0,0,1,1,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,1,1,1,0,1,1,0,1,1,3,4
