GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,5,6,18,136,154,50,253,303,144,715,859
3.750-3.999,3,2,5,16,65,81,30,121,151,82,299,381
3.500-3.749,6,11,17,19,94,113,54,151,205,95,320,415
3.250-3.499,4,6,10,14,71,85,55,115,170,83,190,273
3.000-3.249,6,13,19,32,61,93,56,101,157,119,165,284
2.750-2.999,7,5,12,9,21,30,25,44,69,49,63,112
2.500-2.749,3,3,6,9,23,32,25,30,55,51,50,101
2.250-2.499,5,9,14,14,7,21,22,17,39,22,24,46
2.000-2.249,3,5,8,6,9,15,11,14,25,17,25,42
1.750-1.999,6,0,6,5,4,9,5,6,11,6,3,9
1.500-1.749,1,1,2,2,5,7,8,3,11,4,6,10
1.250-1.499,0,0,0,4,3,7,4,4,8,4,2,6
1.000-1.249,2,2,4,1,2,3,2,3,5,2,6,8
0.750-0.999,0,0,0,0,0,0,0,1,1,2,3,5
0.500-0.749,1,2,3,1,0,1,1,1,2,0,3,3
0.250-0.499,0,2,2,0,0,0,0,0,0,0,2,2
0.000-0.249,5,2,7,6,4,10,7,8,15,22,246,268
