GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,35,38,73,119,199,318,31,74,105,1,9,10
3.750-3.999,4,16,20,40,57,97,19,16,35,1,3,4
3.500-3.749,20,25,45,74,117,191,28,40,68,1,3,4
3.250-3.499,10,24,34,52,53,105,25,36,61,5,4,9
3.000-3.249,37,31,68,91,102,193,30,38,68,1,3,4
2.750-2.999,16,14,30,24,28,52,14,23,37,4,1,5
2.500-2.749,28,26,54,35,44,79,27,15,42,4,2,6
2.250-2.499,19,6,25,20,24,44,13,5,18,1,1,2
2.000-2.249,15,11,26,36,23,59,11,16,27,0,0,0
1.750-1.999,4,3,7,6,6,12,2,5,7,2,0,2
1.500-1.749,7,9,16,13,11,24,6,2,8,0,0,0
1.250-1.499,2,3,5,5,6,11,2,0,2,2,0,2
1.000-1.249,13,4,17,8,5,13,2,3,5,0,0,0
0.750-0.999,1,3,4,1,3,4,0,0,0,0,0,0
0.500-0.749,1,7,8,2,2,4,1,0,1,0,1,1
0.250-0.499,2,2,4,1,1,2,1,1,2,0,0,0
0.000-0.249,42,21,63,32,25,57,12,12,24,0,1,1
