GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,1,2,7,34,41,22,57,79,70,170,240
3.750-3.999,0,0,0,0,0,0,2,4,6,0,3,3
3.500-3.749,0,0,0,4,8,12,3,11,14,7,14,21
3.250-3.499,0,0,0,1,2,3,2,7,9,5,15,20
3.000-3.249,2,2,4,6,13,19,7,20,27,29,88,117
2.750-2.999,2,0,2,0,1,1,0,5,5,1,6,7
2.500-2.749,0,1,1,0,2,2,3,5,8,6,19,25
2.250-2.499,0,0,0,0,3,3,0,3,3,4,6,10
2.000-2.249,1,2,3,7,7,14,4,15,19,20,44,64
1.750-1.999,0,0,0,1,0,1,0,2,2,1,3,4
1.500-1.749,0,0,0,0,1,1,2,3,5,2,4,6
1.250-1.499,1,0,1,0,0,0,0,3,3,0,4,4
1.000-1.249,0,0,0,0,2,2,0,3,3,11,27,38
0.750-0.999,1,0,1,0,0,0,0,0,0,2,1,3
0.500-0.749,0,0,0,0,0,0,0,0,0,1,0,1
0.250-0.499,0,0,0,0,0,0,0,0,0,2,4,6
0.000-0.249,1,1,2,0,2,2,4,6,10,27,50,77
