GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,4,5,1,11,12,7,30,37,14,47,61
3.750-3.999,2,3,5,1,19,20,5,9,14,10,21,31
3.500-3.749,2,3,5,8,12,20,6,16,22,17,21,38
3.250-3.499,1,5,6,7,9,16,4,10,14,9,17,26
3.000-3.249,5,4,9,2,8,10,5,7,12,8,12,20
2.750-2.999,0,0,0,2,5,7,5,6,11,3,1,4
2.500-2.749,0,2,2,0,4,4,2,4,6,3,5,8
2.250-2.499,0,1,1,0,1,1,2,7,9,0,1,1
2.000-2.249,0,1,1,1,0,1,1,0,1,1,2,3
1.750-1.999,1,1,2,0,0,0,0,0,0,1,0,1
1.500-1.749,0,0,0,0,0,0,0,1,1,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,1,0,1,0,0,0,0,0,0,0,0,0
0.750-0.999,0,0,0,0,0,0,0,2,2,0,0,0
0.500-0.749,0,1,1,1,0,1,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,1,1,0,0,0,0,3,3
