GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,9,4,13,99,79,178,121,98,219,239,338,577
3.750-3.999,8,9,17,78,71,149,79,95,174,163,169,332
3.500-3.749,9,8,17,91,80,171,97,105,202,222,195,417
3.250-3.499,12,4,16,89,64,153,91,84,175,171,165,336
3.000-3.249,10,13,23,53,53,106,106,79,185,212,149,361
2.750-2.999,6,6,12,30,32,62,58,43,101,86,45,131
2.500-2.749,9,1,10,24,23,47,35,28,63,83,48,131
2.250-2.499,5,1,6,15,9,24,35,25,60,33,23,56
2.000-2.249,3,2,5,12,5,17,28,11,39,50,23,73
1.750-1.999,1,0,1,4,1,5,4,3,7,9,6,15
1.500-1.749,2,0,2,4,2,6,7,3,10,9,3,12
1.250-1.499,1,0,1,2,0,2,4,1,5,4,1,5
1.000-1.249,0,0,0,2,1,3,3,4,7,2,2,4
0.750-0.999,0,0,0,1,0,1,1,0,1,0,1,1
0.500-0.749,0,0,0,0,2,2,2,2,4,1,1,2
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,2,0,2,7,6,13,5,4,9,12,6,18
