GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,2,3,6,31,37,7,47,54,23,167,190
3.750-3.999,0,0,0,2,11,13,6,23,29,6,52,58
3.500-3.749,1,2,3,5,12,17,6,27,33,12,60,72
3.250-3.499,1,0,1,2,18,20,1,21,22,14,45,59
3.000-3.249,0,1,1,8,18,26,5,16,21,10,31,41
2.750-2.999,0,2,2,1,8,9,1,5,6,3,3,6
2.500-2.749,1,2,3,0,1,1,0,4,4,0,6,6
2.250-2.499,1,0,1,0,4,4,1,0,1,0,2,2
2.000-2.249,1,0,1,0,2,2,0,2,2,5,1,6
1.750-1.999,0,0,0,0,1,1,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,1,0,1,0,0,0
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,0,0,0,0,0,0,0,1,1
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,0,1,1,0,0,0,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,0,0,0,0,1,1,0,1,1
