GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,0,0,0,12,10,22,45,30,75,153,95,248
3.750-3.999,0,0,0,0,0,0,1,1,2,1,2,3
3.500-3.749,1,0,1,0,2,2,15,8,23,51,13,64
3.250-3.499,0,0,0,1,0,1,3,5,8,17,12,29
3.000-3.249,1,1,2,5,3,8,37,20,57,119,25,144
2.750-2.999,0,0,0,1,0,1,1,1,2,2,1,3
2.500-2.749,1,0,1,1,0,1,6,2,8,26,4,30
2.250-2.499,0,0,0,0,0,0,2,0,2,6,0,6
2.000-2.249,0,0,0,2,0,2,15,3,18,36,8,44
1.750-1.999,0,0,0,0,0,0,0,0,0,0,0,0
1.500-1.749,0,0,0,0,0,0,2,1,3,5,4,9
1.250-1.499,0,0,0,0,0,0,0,0,0,0,0,0
1.000-1.249,0,0,0,1,0,1,6,0,6,6,2,8
0.750-0.999,0,0,0,0,0,0,0,0,0,1,0,1
0.500-0.749,0,0,0,0,0,0,0,1,1,0,1,1
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,0,1,0,0,0,4,5,9,31,15,46
