GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,262,308,570,305,500,805,302,504,806,490,1093,1583
3.750-3.999,43,65,108,133,197,330,180,302,482,256,492,748
3.500-3.749,116,180,296,216,327,543,225,373,598,378,707,1085
3.250-3.499,107,133,240,176,252,428,184,272,456,298,540,838
3.000-3.249,175,236,411,219,326,545,193,330,523,353,517,870
2.750-2.999,66,67,133,93,126,219,96,127,223,180,206,386
2.500-2.749,78,121,199,115,154,269,102,136,238,189,230,419
2.250-2.499,59,70,129,64,77,141,73,86,159,98,123,221
2.000-2.249,58,89,147,77,93,170,53,68,121,105,145,250
1.750-1.999,19,27,46,23,36,59,21,21,42,33,41,74
1.500-1.749,28,33,61,30,33,63,20,30,50,36,46,82
1.250-1.499,14,26,40,14,20,34,11,15,26,19,21,40
1.000-1.249,27,30,57,18,11,29,12,15,27,18,29,47
0.750-0.999,7,7,14,3,9,12,2,4,6,7,10,17
0.500-0.749,11,15,26,10,12,22,3,7,10,10,10,20
0.250-0.499,8,12,20,5,5,10,9,6,15,4,4,8
0.000-0.249,56,59,115,30,32,62,33,26,59,46,50,96
