GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,1,3,24,18,42,28,37,65,162,119,281
3.750-3.999,1,1,2,22,17,39,41,17,58,53,30,83
3.500-3.749,6,0,6,28,15,43,65,23,88,119,49,168
3.250-3.499,1,2,3,24,12,36,66,19,85,127,25,152
3.000-3.249,7,3,10,37,9,46,60,19,79,142,31,173
2.750-2.999,3,1,4,20,1,21,40,8,48,54,11,65
2.500-2.749,4,1,5,10,3,13,37,5,42,56,12,68
2.250-2.499,2,0,2,7,2,9,20,2,22,25,5,30
2.000-2.249,1,1,2,3,2,5,14,5,19,20,2,22
1.750-1.999,2,0,2,1,0,1,6,0,6,3,1,4
1.500-1.749,0,1,1,2,0,2,6,0,6,3,2,5
1.250-1.499,0,0,0,1,0,1,2,1,3,0,1,1
1.000-1.249,0,0,0,1,0,1,1,0,1,2,0,2
0.750-0.999,0,0,0,0,0,0,2,0,2,0,0,0
0.500-0.749,0,1,1,1,0,1,1,0,1,0,0,0
0.250-0.499,0,0,0,0,0,0,0,0,0,1,0,1
0.000-0.249,0,0,0,2,0,2,3,2,5,3,2,5
