GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,2,3,5,12,24,36,34,46,80,67,100,167
3.750-3.999,4,1,5,6,13,19,28,24,52,45,50,95
3.500-3.749,1,0,1,13,12,25,21,20,41,42,62,104
3.250-3.499,1,0,1,13,13,26,20,26,46,40,39,79
3.000-3.249,2,4,6,10,10,20,13,22,35,50,30,80
2.750-2.999,1,0,1,8,6,14,6,5,11,15,16,31
2.500-2.749,1,0,1,3,3,6,9,6,15,8,13,21
2.250-2.499,2,0,2,2,3,5,2,4,6,8,8,16
2.000-2.249,2,2,4,4,1,5,5,6,11,11,3,14
1.750-1.999,0,0,0,0,0,0,2,0,2,3,4,7
1.500-1.749,0,0,0,0,0,0,6,1,7,1,4,5
1.250-1.499,0,0,0,1,0,1,0,0,0,1,0,1
1.000-1.249,0,0,0,0,0,0,2,2,4,1,0,1
0.750-0.999,0,0,0,0,0,0,0,0,0,0,0,0
0.500-0.749,0,0,0,2,0,2,0,0,0,0,1,1
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,1,1,2,4,2,6,3,3,6,6,14,20
