GPA Group,Freshman Male,Freshman Female,Freshman Total,Sophomore Male,Sophomore Female,Sophomore Total,Junior Male,Junior Female,Junior Total,Senior Male,Senior Female,Senior Total
4.000,1,1,2,26,69,95,40,172,212,95,412,507
3.750-3.999,1,5,6,10,42,52,24,79,103,72,139,211
3.500-3.749,1,5,6,18,50,68,45,72,117,76,153,229
3.250-3.499,0,7,7,13,29,42,26,60,86,56,97,153
3.000-3.249,4,4,8,23,29,52,37,46,83,75,116,191
2.750-2.999,1,3,4,8,15,23,17,19,36,27,44,71
2.500-2.749,2,5,7,7,6,13,24,13,37,21,32,53
2.250-2.499,0,0,0,3,6,9,6,6,12,22,17,39
2.000-2.249,1,0,1,8,6,14,4,7,11,13,11,24
1.750-1.999,0,0,0,0,0,0,3,2,5,3,2,5
1.500-1.749,0,0,0,0,1,1,4,3,7,3,4,7
1.250-1.499,0,0,0,1,1,2,1,2,3,1,0,1
1.000-1.249,0,1,1,0,2,2,2,1,3,1,1,2
0.750-0.999,0,0,0,0,0,0,2,0,2,0,0,0
0.500-0.749,0,1,1,0,0,0,0,0,0,1,1,2
0.250-0.499,0,0,0,0,0,0,0,0,0,0,0,0
0.000-0.249,0,0,0,1,3,4,3,3,6,17,202,219
